,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,port hueneme,90,US,1601266060,82,68.0,34.15,-119.2,3.36
1,vardo,75,NO,1601265513,81,44.6,70.37,31.11,13.87
2,vaini,20,TO,1601266061,69,78.8,-21.2,-175.2,8.05
3,sisimiut,41,GL,1601266061,92,30.99,66.94,-53.67,7.76
4,roald,95,NO,1601266061,93,54.0,62.58,6.13,1.12
5,la baule-escoublac,6,FR,1601266062,93,48.99,47.29,-2.36,9.17
6,punta arenas,20,CL,1601266062,75,42.8,-53.15,-70.92,34.45
7,fredonia,1,US,1601266062,88,73.0,42.44,-79.33,9.19
8,kotka,0,FI,1601265930,93,48.99,60.47,26.95,9.17
9,puerto ayora,96,EC,1601266063,88,68.0,-0.74,-90.35,8.01
10,cherskiy,100,RU,1601265766,54,47.53,68.75,161.3,8.21
11,port alfred,0,ZA,1601266063,70,51.53,-33.59,26.89,7.65
12,teya,99,RU,1601265807,78,44.89,60.38,92.63,11.25
13,geraldton,40,AU,1601265482,53,71.6,-28.77,114.6,11.41
14,east london,1,ZA,1601265775,81,48.2,-33.02,27.91,6.93
15,ampanihy,7,MG,1601266064,84,68.58,-24.7,44.75,6.58
16,dingle,46,PH,1601266064,66,87.51,11.0,122.67,4.61
17,avarua,0,CK,1601266064,73,73.4,-21.21,-159.78,12.75
18,busselton,52,AU,1601266065,68,66.0,-33.65,115.33,1.01
19,victoria,92,HK,1601265862,81,82.0,22.29,114.16,1.01
20,porto belo,100,BR,1601265989,94,71.01,-27.16,-48.55,5.82
21,albany,31,US,1601266065,98,70.0,42.6,-73.97,5.46
22,port elizabeth,8,ZA,1601265871,81,46.4,-33.92,25.57,6.93
23,ginir,54,ET,1601266066,83,61.27,7.13,40.7,3.56
24,macklin,4,CA,1601266066,73,45.37,52.33,-109.93,5.23
25,hobart,20,AU,1601265867,58,59.0,-42.88,147.33,16.11
26,cabo san lucas,5,MX,1601266056,51,86.0,22.89,-109.91,5.82
27,kapaa,1,US,1601266067,74,82.4,22.08,-159.32,12.75
28,cidreira,92,BR,1601266067,97,65.97,-30.18,-50.21,9.15
29,waingapu,51,ID,1601265987,48,89.2,-9.66,120.26,13.8
30,mar del plata,90,AR,1601266067,93,54.0,-38.0,-57.56,18.34
31,vestmannaeyjar,100,IS,1601266068,82,44.89,63.44,-20.27,11.12
32,new norfolk,20,AU,1601265790,58,59.0,-42.78,147.06,16.11
33,berwick,87,US,1601266068,93,66.0,41.05,-76.23,1.41
34,bathsheba,40,BB,1601265811,78,82.4,13.22,-59.52,14.99
35,margate,100,GB,1601266069,93,54.0,51.38,1.39,7.0
36,ushuaia,40,AR,1601265794,75,41.0,-54.8,-68.3,16.11
37,big spring,40,US,1601266069,68,68.0,32.25,-101.48,32.21
38,lebu,64,CL,1601266069,89,48.29,-37.62,-73.65,11.61
39,rikitea,0,PF,1601265900,78,74.55,-23.12,-134.97,10.18
40,kempsey,88,AU,1601266051,58,66.0,-31.08,152.83,8.99
41,mangrol,11,IN,1601265506,67,81.3,21.12,70.12,2.8
42,tura,6,IN,1601266070,75,84.36,25.52,90.22,2.3
43,bambous virieux,40,MU,1601266071,88,77.0,-20.34,57.76,6.93
44,olafsvik,100,IS,1601266071,80,44.91,64.89,-23.71,4.7
45,ostrovnoy,65,RU,1601266071,86,43.57,68.05,39.51,13.29
46,tabou,43,CI,1601266072,90,75.9,4.42,-7.35,5.97
47,sulangan,18,PH,1601266072,65,85.42,11.14,123.72,0.85
48,jasper,90,US,1601266072,93,54.0,37.2,-94.35,8.05
49,cururupu,0,BR,1601266072,87,75.29,-1.83,-44.87,5.44
50,hilo,20,US,1601266073,69,80.6,19.73,-155.09,8.05
51,talnakh,40,RU,1601266073,93,32.0,69.49,88.4,17.9
52,arraial do cabo,2,BR,1601266037,88,73.4,-22.97,-42.03,9.17
53,nyurba,92,RU,1601265839,61,45.93,63.28,118.33,9.28
54,wagar,9,SD,1601266074,43,85.69,16.15,36.2,7.07
55,muli,28,MV,1601266074,70,82.08,2.92,73.57,3.27
56,cape town,20,ZA,1601266075,86,41.0,-33.93,18.42,5.82
57,vila franca do campo,75,PT,1601266075,94,68.0,37.72,-25.43,8.05
58,guymon,90,US,1601266075,44,57.2,36.68,-101.48,23.04
59,araouane,0,ML,1601266075,20,91.38,18.9,-3.53,8.52
60,chara,85,RU,1601265484,56,45.77,56.91,118.26,8.79
61,basco,97,PH,1601266076,83,82.4,20.45,121.97,13.0
62,atbasar,23,KZ,1601266076,61,49.59,51.8,68.33,5.12
63,dikson,100,RU,1601265800,81,36.21,73.51,80.55,26.93
64,ahipara,18,NZ,1601266077,63,58.19,-35.17,173.17,14.41
65,ponta delgada,75,PT,1601266077,94,68.0,37.73,-25.67,8.05
66,hithadhoo,100,MV,1601266077,66,83.14,-0.6,73.08,4.85
67,altay,23,CN,1601265539,44,50.02,47.87,88.12,4.41
68,codrington,0,AU,1601266078,63,56.95,-38.27,141.97,7.96
69,qaanaaq,37,GL,1601266078,78,12.15,77.48,-69.36,8.19
70,mataura,99,NZ,1601266066,71,42.01,-46.19,168.86,20.0
71,labuhan,86,ID,1601266078,52,89.13,-6.88,112.21,5.17
72,san pedro,40,PH,1601266079,74,90.0,14.35,121.02,6.93
73,hermanus,0,ZA,1601266079,77,46.99,-34.42,19.23,6.31
74,ribas do rio pardo,1,BR,1601266079,45,80.29,-20.44,-53.76,3.85
75,severo-kurilsk,100,RU,1601266080,87,48.56,50.68,156.12,46.53
76,port lincoln,48,AU,1601265546,55,63.59,-34.73,135.87,21.59
77,san severo,40,IT,1601266080,72,60.8,41.69,15.38,14.99
78,zhicheng,96,CN,1601266080,72,72.43,30.3,111.5,1.48
79,tuatapere,81,NZ,1601266081,71,42.01,-46.13,167.68,20.0
80,methoni,20,GR,1601266081,72,72.0,36.82,21.7,11.97
81,tuktoyaktuk,90,CA,1601266082,100,35.6,69.45,-133.04,4.7
82,halifax,2,CA,1601266082,99,64.99,44.65,-63.57,1.01
83,cockburn town,0,TC,1601266082,76,82.49,21.46,-71.14,14.0
84,nome,1,US,1601266082,74,48.2,64.5,-165.41,11.41
85,tasiilaq,100,GL,1601266083,86,33.8,65.61,-37.64,2.24
86,verkhnevilyuysk,100,RU,1601266083,75,42.8,63.45,120.32,6.8
87,baryatino,100,RU,1601266083,92,49.32,54.31,34.52,14.38
88,upington,0,ZA,1601265539,47,37.4,-28.45,21.26,4.7
89,castro,100,BR,1601266084,81,63.86,-24.79,-50.01,5.1
90,leningradskiy,74,RU,1601266084,86,33.64,69.38,178.42,7.61
91,bredasdorp,0,ZA,1601266084,81,42.8,-34.53,20.04,5.82
92,nikolskoye,1,RU,1601266085,81,50.0,59.7,30.79,8.95
93,asau,9,RO,1601266085,93,46.4,46.43,26.4,2.24
94,hasaki,20,JP,1601266085,50,82.0,35.73,140.83,12.75
95,quatre cocos,40,MU,1601265559,88,77.0,-20.21,57.76,6.93
96,manjeshwar,20,IN,1601266086,88,78.8,12.72,74.89,3.36
97,grindavik,75,IS,1601266086,93,42.8,63.84,-22.43,10.29
98,saint-philippe,69,RE,1601266086,57,75.2,-21.36,55.77,3.36
99,uruzgan,0,AF,1601266087,22,65.01,32.83,66.0,3.71
100,alekseyevsk,100,RU,1601266087,74,46.0,57.84,108.35,10.54
101,barrow,90,US,1601266087,96,32.0,71.29,-156.79,10.29
102,thompson,90,CA,1601265793,93,42.8,55.74,-97.86,10.29
103,isangel,40,VU,1601266088,70,84.2,-19.55,169.27,9.17
104,berlevag,95,NO,1601266088,81,42.8,70.86,29.09,14.99
105,porto novo,40,BJ,1601266088,88,78.8,6.5,2.6,11.41
106,san cristobal,84,VE,1601266088,88,64.78,7.77,-72.22,1.88
107,nacala,64,MZ,1601266089,77,76.15,-14.54,40.67,9.31
108,richards bay,100,ZA,1601266089,90,59.4,-28.78,32.04,12.39
109,rosbach,90,DE,1601266089,92,46.99,50.8,7.62,1.99
110,nanortalik,0,GL,1601266089,82,36.37,60.14,-45.24,15.05
111,kodiak,90,US,1601266090,81,48.2,57.79,-152.41,12.75
112,murupara,82,NZ,1601266090,31,62.01,-38.47,176.7,8.01
113,mahebourg,40,MU,1601266090,88,71.6,-20.41,57.7,6.93
114,sao jose da coroa grande,80,BR,1601266091,89,75.97,-8.9,-35.15,10.71
115,sao joao da barra,0,BR,1601266091,82,74.53,-21.64,-41.05,11.52
116,souillac,40,MU,1601265826,88,71.6,-20.52,57.52,6.93
117,mino,40,JP,1601266091,57,78.8,34.83,135.47,13.87
118,sao filipe,48,CV,1601266091,83,79.72,14.9,-24.5,3.04
119,maltahohe,0,NA,1601266092,71,36.68,-24.83,16.98,5.73
120,ribeira grande,99,PT,1601266092,89,69.42,38.52,-28.7,7.38
121,port hedland,0,AU,1601266092,38,89.6,-20.32,118.57,16.11
122,santa marta,61,CO,1601266093,89,75.0,11.24,-74.2,8.37
123,waipawa,30,NZ,1601266093,66,55.4,-41.41,175.52,25.28
